config,spec,seed,steps,tokens,val_loss,val_ppl,diverged,frozen_frac_tail,grad_zero_frac_tail,n_quant_sites,max_zero_frac,max_sat_frac,tokens_per_cpu_sec,cpu_seconds,tokens_per_sec,seconds,wall_over_cpu,threads
R0_fp32,R0_fp32 [none],0,10000,20480000,2.0352740049362184,7.654349167621038,False,0.0003455476523631841,0.0,0,0.0,0.0,1546.1,13246.1,6137.4,3336.9,0.25,4
R0_fp32,R0_fp32 [none],1,10000,20480000,2.0278937339782717,7.598065944945317,False,0.0003783831493573798,0.0,0,0.0,0.0,1583.1,12936.8,6284.7,3258.7,0.25,4
R0_fp32,R0_fp32 [none],2,10000,20480000,2.0360550761222838,7.660330094664774,False,0.00035399337945688224,0.0,0,0.0,0.0,1567.1,13068.6,6221.2,3292.0,0.25,4
R1_ternary,R1_ternary [w=ternary|tensor|float|nearest|absmean|ste=identity],0,10000,20480000,2.287593002319336,9.851197312046535,False,0.00034801416096600334,0.0,24,0.41101,0.230592,1429.4,14327.5,5675.5,3608.5,0.25,4
R1_ternary,R1_ternary [w=ternary|tensor|float|nearest|absmean|ste=identity],1,10000,20480000,2.292510313987732,9.899758015744599,False,0.0003572145781509121,0.0,24,0.445822,0.231102,1462.6,14002.5,5807.8,3526.3,0.25,4
R1_ternary,R1_ternary [w=ternary|tensor|float|nearest|absmean|ste=identity],2,10000,20480000,2.2794285297393797,9.771094923548842,False,0.000302714940920398,0.0,24,0.435908,0.230571,1454.2,14083.8,5774.2,3546.8,0.25,4
R2_act8,R2_act8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity],0,10000,20480000,2.2902646541595457,9.877551470365596,False,0.00034898910395936983,0.0,48,0.453141,0.229611,1130.7,18112.7,4490.6,4560.7,0.25,4
R2_act8,R2_act8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity],1,10000,20480000,2.284801654815674,9.823737539734594,False,0.0003190816749585406,0.0,48,0.40279,0.230608,1134.3,18055.3,4504.8,4546.3,0.25,4
R2_act8,R2_act8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity],2,10000,20480000,2.2861902713775635,9.837388420107677,False,0.0002890544024668325,0.0,48,0.420996,0.229657,1119.9,18286.8,4447.5,4604.8,0.25,4
R2p5_pow2scales,R2p5_pow2scales [w=ternary|tensor|pow2/ceil|nearest|absmean|ste=identity a=int8|row|pow2/ceil|nearest|absmax|ste=identity],0,10000,20480000,2.2255856442451476,9.25890364004438,False,0.000394508576907131,0.0,48,0.530319,0.153763,1091.8,18758.3,4335.5,4723.8,0.25,4
